file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000098_3,2stage,3,1,1,0,0,16.872,mixed;mod-5px+;sym-CODE128;damaged;perspective;sym-QR;lowcontrast;mod-3px;dpm;rot-ortho;dirty;noise;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000100_1,2stage,1,0,0,0,0,228.406,mixed;clutter-label;mod-5px+;sym-CODE39;inverted;printdefect;glare;shadow;sym-CODE_39;n1;img-ok
c000101_10,2stage,10,2,2,0,0,1.987,mixed;clutter-falsepattern;mod-3px;sym-CODE128;mod-5px+;sym-QR;rot-ortho;printdefect;sym-ITF;inverted;lowcontrast;perspective;sym-EAN13;damaged;rot-free;dirty;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n10;img-ok
c000103_2,2stage,2,1,1,0,0,5.123,mixed;mod-3px;sym-CODE39;mod-5px+;sym-QR;dpm;printdefect;rot-small;shadow;sym-CODE_39;sym-QR_CODE;n2;img-ok
c000104_6,2stage,6,3,3,0,0,18.384,mixed;mod-3px;sym-CODE39;rot-small;mod-5px+;sym-QR;damaged;rot-free;sym-ITF;rot-ortho;lowcontrast;noise;sym-CODE_39;sym-QR_CODE;n6;img-ok
c000106_2,2stage,2,1,1,0,0,13.209,mixed;clutter-label;mod-5px+;sym-CODE128;damaged;mod-3px;rot-small;glare;overexposed;sym-CODE_128;n2;img-ok
c000108_1,2stage,1,0,0,0,0,353.485,mixed;clutter-warehouse;mod-3px;sym-QR;damaged;shadow;sym-QR_CODE;n1;img-ok
c000109_2,2stage,2,1,1,0,0,207.872,mixed;clutter-falsepattern;mod-5px+;sym-EAN13;printdefect;rot-free;sym-CODE128;inverted;rot-small;dirty;noise;sym-CODE_128;sym-EAN_13;n2;img-ok
c000111_2,2stage,2,1,1,0,0,1.670,mixed;clutter-label;mod-3px;sym-QR;lowcontrast;inverted;rot-free;mod-5px+;shadow;sym-QR_CODE;n2;img-ok
c000113_3,2stage,3,1,1,0,0,504.244,mixed;mod-3px;sym-CODE128;inverted;printdefect;mod-5px+;sym-ITF;lowcontrast;rot-free;rot-ortho;dirty;shadow;underexposed;sym-CODE_128;n3;img-ok
c000114_3,2stage,3,1,1,0,0,7.768,mixed;clutter-falsepattern;mod-3px;sym-ITF;rot-ortho;mod-5px+;sym-QR;sym-CODE128;inverted;printdefect;rot-small;noise;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000115_2,2stage,2,1,1,0,0,34.517,mixed;clutter-label;mod-3px;sym-ITF;mod-5px+;sym-CODE128;quietzone;underexposed;noise;sym-CODE_128;n2;img-ok
c000116_3,2stage,3,2,2,0,0,34.499,mixed;clutter-warehouse;mod-5px+;sym-EAN13;sym-CODE128;rot-small;perspective;sym-QR;dirty;shadow;overexposed;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n3;img-ok
c000120_1,2stage,1,1,1,0,0,1.972,mixed;mod-3px;sym-ITF;lowcontrast;printdefect;rot-ortho;overexposed;n1;img-ok
c000123_1,2stage,1,1,1,0,0,31.157,mixed;mod-3px;sym-EAN13;lowcontrast;quietzone;noise;sym-EAN_13;n1;img-ok
