file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0.75_noise-20_1,2stage,1,1,1,0,0,15.521,blur=0.75;noise=20;sym-CODABAR;img-ok
sw_blur-1_noise-20_1,2stage,1,1,1,0,0,8.787,blur=1;noise=20;sym-CODABAR;img-ok
sw_blur-1.25_noise-20_1,2stage,1,1,1,0,0,9.795,blur=1.25;noise=20;sym-CODABAR;img-ok
sw_blur-1.5_noise-20_1,2stage,1,1,1,0,0,15.693,blur=1.5;noise=20;sym-CODABAR;img-ok
sw_blur-1.75_noise-20_1,2stage,1,1,1,0,0,15.133,blur=1.75;noise=20;sym-CODABAR;img-ok
sw_blur-2_noise-20_1,2stage,1,1,1,0,0,11.963,blur=2;noise=20;sym-CODABAR;img-borderline
sw_blur-2.25_noise-20_1,2stage,1,1,1,0,0,8.314,blur=2.25;noise=20;sym-CODABAR;img-borderline
sw_blur-2.5_noise-20_1,2stage,1,1,1,0,0,6.232,blur=2.5;noise=20;sym-CODABAR;img-borderline
sw_blur-2.75_noise-20_1,2stage,1,1,1,0,0,16.886,blur=2.75;noise=20;sym-CODABAR;img-borderline
sw_blur-3_noise-20_1,2stage,1,1,1,0,0,20.838,blur=3;noise=20;sym-CODABAR;img-impossible
sw_blur-3.25_noise-20_1,2stage,1,1,1,0,0,11.851,blur=3.25;noise=20;sym-CODABAR;img-impossible
sw_blur-3.5_noise-20_1,2stage,1,1,1,0,0,15.252,blur=3.5;noise=20;sym-CODABAR;img-impossible
sw_blur-3.75_noise-20_1,2stage,1,1,1,0,0,16.671,blur=3.75;noise=20;sym-CODABAR;img-impossible
sw_blur-4_noise-20_1,2stage,1,1,1,0,0,8.392,blur=4;noise=20;sym-CODABAR;img-impossible
sw_blur-0_noise-25_1,2stage,1,1,1,0,0,7.763,blur=0;noise=25;sym-CODABAR;img-ok
sw_blur-0.25_noise-25_1,2stage,1,1,1,0,0,8.363,blur=0.25;noise=25;sym-CODABAR;img-ok
sw_blur-0.5_noise-25_1,2stage,1,1,1,0,0,7.412,blur=0.5;noise=25;sym-CODABAR;img-ok
sw_blur-0.75_noise-25_1,2stage,1,1,1,0,0,12.614,blur=0.75;noise=25;sym-CODABAR;img-ok
sw_blur-1_noise-25_1,2stage,1,1,1,0,0,21.936,blur=1;noise=25;sym-CODABAR;img-ok
sw_blur-1.25_noise-25_1,2stage,1,1,1,0,0,20.412,blur=1.25;noise=25;sym-CODABAR;img-ok
sw_blur-1.5_noise-25_1,2stage,1,1,1,0,0,17.055,blur=1.5;noise=25;sym-CODABAR;img-ok
