file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-1_invert-1_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,85.134,dpm=1;invert=1;printdefect=0;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,2.014,dpm=0;invert=0;printdefect=0.25;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,25.373,dpm=1;invert=0;printdefect=0.25;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,60.787,dpm=0;invert=1;printdefect=0.25;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,89.964,dpm=1;invert=1;printdefect=0.25;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0.5_1,2stage,1,1,1,0,0,2.047,dpm=0;invert=0;printdefect=0.5;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0.5_1,2stage,1,1,1,0,0,57.780,dpm=1;invert=0;printdefect=0.5;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0.5_1,2stage,1,1,1,0,0,114.858,dpm=0;invert=1;printdefect=0.5;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0.5_1,2stage,1,1,1,0,0,86.963,dpm=1;invert=1;printdefect=0.5;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0.5_1,2stage,1,1,1,0,0,1.986,dpm=0;invert=0;printdefect=0.75;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0.5_1,2stage,1,1,1,0,0,25.337,dpm=1;invert=0;printdefect=0.75;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0.5_1,2stage,1,1,1,0,0,56.842,dpm=0;invert=1;printdefect=0.75;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0.5_1,2stage,1,1,1,0,0,185.540,dpm=1;invert=1;printdefect=0.75;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0.5_1,2stage,1,1,1,0,0,2.077,dpm=0;invert=0;printdefect=1;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0.5_1,2stage,1,1,1,0,0,51.120,dpm=1;invert=0;printdefect=1;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0.5_1,2stage,1,1,1,0,0,63.040,dpm=0;invert=1;printdefect=1;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0.5_1,2stage,1,1,1,0,0,86.870,dpm=1;invert=1;printdefect=1;quietzone=0.5;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.75_1,2stage,1,1,1,0,0,2.215,dpm=0;invert=0;printdefect=0;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.75_1,2stage,1,1,1,0,0,26.019,dpm=1;invert=0;printdefect=0;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.75_1,2stage,1,1,1,0,0,65.210,dpm=0;invert=1;printdefect=0;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.75_1,2stage,1,1,1,0,0,64.677,dpm=1;invert=1;printdefect=0;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.75_1,2stage,1,1,1,0,0,2.167,dpm=0;invert=0;printdefect=0.25;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.75_1,2stage,1,1,1,0,0,54.584,dpm=1;invert=0;printdefect=0.25;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.75_1,2stage,1,1,1,0,0,117.579,dpm=0;invert=1;printdefect=0.25;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.75_1,2stage,1,1,1,0,0,71.317,dpm=1;invert=1;printdefect=0.25;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0.75_1,2stage,1,1,1,0,0,2.086,dpm=0;invert=0;printdefect=0.5;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0.75_1,2stage,1,1,1,0,0,25.668,dpm=1;invert=0;printdefect=0.5;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0.75_1,2stage,1,1,1,0,0,60.415,dpm=0;invert=1;printdefect=0.5;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0.75_1,2stage,1,1,1,0,0,71.305,dpm=1;invert=1;printdefect=0.5;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0.75_1,2stage,1,1,1,0,0,1.849,dpm=0;invert=0;printdefect=0.75;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0.75_1,2stage,1,1,1,0,0,51.287,dpm=1;invert=0;printdefect=0.75;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0.75_1,2stage,1,1,1,0,0,114.586,dpm=0;invert=1;printdefect=0.75;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0.75_1,2stage,1,1,1,0,0,73.768,dpm=1;invert=1;printdefect=0.75;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0.75_1,2stage,1,1,1,0,0,1.943,dpm=0;invert=0;printdefect=1;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0.75_1,2stage,1,1,1,0,0,24.561,dpm=1;invert=0;printdefect=1;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0.75_1,2stage,1,1,1,0,0,63.749,dpm=0;invert=1;printdefect=1;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0.75_1,2stage,1,1,1,0,0,66.010,dpm=1;invert=1;printdefect=1;quietzone=0.75;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-1_1,2stage,1,1,1,0,0,1.935,dpm=0;invert=0;printdefect=0;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-1_1,2stage,1,1,1,0,0,51.408,dpm=1;invert=0;printdefect=0;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-1_1,2stage,1,1,1,0,0,99.848,dpm=0;invert=1;printdefect=0;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-1_1,2stage,1,1,1,0,0,67.725,dpm=1;invert=1;printdefect=0;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-1_1,2stage,1,1,1,0,0,1.944,dpm=0;invert=0;printdefect=0.25;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-1_1,2stage,1,1,1,0,0,24.337,dpm=1;invert=0;printdefect=0.25;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-1_1,2stage,1,1,1,0,0,58.235,dpm=0;invert=1;printdefect=0.25;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-1_1,2stage,1,1,1,0,0,60.981,dpm=1;invert=1;printdefect=0.25;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-1_1,2stage,1,1,1,0,0,1.895,dpm=0;invert=0;printdefect=0.5;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-1_1,2stage,1,1,1,0,0,70.506,dpm=1;invert=0;printdefect=0.5;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-1_1,2stage,1,1,1,0,0,102.779,dpm=0;invert=1;printdefect=0.5;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-1_1,2stage,1,1,1,0,0,61.010,dpm=1;invert=1;printdefect=0.5;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-1_1,2stage,1,1,1,0,0,1.874,dpm=0;invert=0;printdefect=0.75;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-1_1,2stage,1,1,1,0,0,33.726,dpm=1;invert=0;printdefect=0.75;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-1_1,2stage,1,1,1,0,0,66.199,dpm=0;invert=1;printdefect=0.75;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-1_1,2stage,1,1,1,0,0,80.005,dpm=1;invert=1;printdefect=0.75;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-1_1,2stage,1,1,1,0,0,1.832,dpm=0;invert=0;printdefect=1;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-1_1,2stage,1,1,1,0,0,24.459,dpm=1;invert=0;printdefect=1;quietzone=1;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-1_1,2stage,1,1,1,0,0,45.993,dpm=0;invert=1;printdefect=1;quietzone=1;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-1_1,2stage,1,1,1,0,0,62.303,dpm=1;invert=1;printdefect=1;quietzone=1;sym-CODABAR;img-ok
